,Envios,Acordos,Porcentagem
"PE,30",2328,7.0,0.30068728522336774
"SP,27",17471,129.0,0.7383664358079103
"RO,44",961,8.0,0.8324661810613945
"MT,-1",716,4.0,0.5586592178770949
"SC,26",890,7.0,0.7865168539325843
"PE,41",3425,23.0,0.6715328467153284
"SP,57",14409,68.0,0.47192726767992227
"PR,35",2739,24.0,0.8762322015334063
"MG,40",4893,44.0,0.8992438176987533
"BA,64",1649,5.0,0.3032140691328078
"SP,48",21879,145.0,0.6627359568536039
"SP,42",25279,192.0,0.7595237153368408
"SP,26",15227,107.0,0.7026991528206475
"ES,55",545,6.0,1.1009174311926606
"SP,34",25009,146.0,0.5837898356591628
"SP,41",26886,198.0,0.7364427583128765
"DF,42",2500,22.0,0.88
"SP,72",4963,20.0,0.4029820672980053
"DF,47",2137,10.0,0.4679457182966776
"nan,-1",26671,142.0,0.5324134828090435
"TO,40",961,7.0,0.72840790842872
"RJ,37",11603,46.0,0.39644919417392055
"RJ,44",11741,47.0,0.4003066178349374
"GO,51",3345,11.0,0.32884902840059793
"RJ,69",4459,10.0,0.2242655303879794
"RJ,42",11952,72.0,0.6024096385542169
"PA,28",1528,16.0,1.0471204188481675
"SC,33",1561,12.0,0.7687379884689303
"CE,36",2615,19.0,0.7265774378585086
"RJ,45",11382,57.0,0.5007907221929362
"RJ,31",9989,39.0,0.39042947241966164
"SC,36",1575,17.0,1.0793650793650795
"PE,39",3227,29.0,0.8986674930275798
"CE,42",2589,13.0,0.5021243723445346
"RS,43",4297,26.0,0.605073306958343
"RJ,56",8222,19.0,0.23108732668450496
"RS,60",2587,12.0,0.4638577502899111
"RS,51",3232,18.0,0.5569306930693069
"GO,50",3607,15.0,0.4158580537843083
"MA,37",1435,13.0,0.9059233449477353
"RS,63",2229,10.0,0.44863167339614174
"PA,64",572,2.0,0.34965034965034963
"AM,43",1780,15.0,0.8426966292134831
"AM,44",1683,16.0,0.9506833036244802
"PA,51",1245,11.0,0.8835341365461846
"MA,36",1383,17.0,1.2292118582791034
"RN,52",841,2.0,0.23781212841854932
"AM,76",103,1.0,0.9708737864077669
"AM,26",1177,5.0,0.4248088360237893
"PR,51",1848,19.0,1.0281385281385282
"BA,47",4268,19.0,0.4451733833177133
"GO,39",4943,30.0,0.6069188751770179
"DF,37",2447,15.0,0.6129955046996322
"PE,57",1673,5.0,0.2988643156007173
"AM,46",1438,19.0,1.321279554937413
"RJ,41",12496,63.0,0.5041613316261203
"RS,41",4729,32.0,0.6766758299851977
"SP,49",20261,127.0,0.6268199990128819
"GO,48",4120,18.0,0.4368932038834952
"MG,53",3283,28.0,0.8528784648187633
"MG,32",4347,21.0,0.4830917874396135
"SE,66",104,3.0,2.8846153846153846
"SP,50",20154,118.0,0.5854917138037115
"SP,53",16999,98.0,0.5765045002647214
"SP,46",22703,151.0,0.665110337840814
"SP,24",11993,97.0,0.8088051363295256
"DF,63",780,5.0,0.641025641025641
"BA,39",5054,41.0,0.8112386228729719
