,Envios,Acordos,Percentual
SP,937452,5956,0.6353391960335036
RJ,477148,1925,0.40343876533067313
GO,180872,827,0.4572294219116281
MG,175306,1112,0.6343194186165904
RS,172602,924,0.5353356276288803
BA,168219,919,0.5463116532615222
PE,108479,546,0.5033232238497773
PR,92996,674,0.7247623553701235
CE,86148,503,0.5838789060686261
DF,84887,479,0.5642795716658617
PA,71321,458,0.6421671036581091
MT,69605,334,0.4798505854464478
MS,62913,295,0.46890149889529986
AM,58773,520,0.8847600088476002
SC,55841,431,0.77183431528805
MA,44645,418,0.9362750587971777
RN,42701,210,0.49179176131706515
PI,41028,222,0.5410938871014916
AL,38976,195,0.500307881773399
RO,36740,205,0.557974959172564
ES,36550,251,0.6867305061559508
PB,34105,191,0.560035185456678
TO,33582,183,0.5449347864927641
AC,14237,85,0.5970358923930603
SE,14212,79,0.5558682803264847
AP,9551,85,0.8899591665794158
RR,4774,33,0.6912442396313364
