,Ocorrências,Acordos,Percentual
41,91254,608,0.6662721634120148
40,89986,618,0.6867734980997044
37,88691,483,0.5445873876718044
35,87034,482,0.5538065583565044
43,86200,551,0.6392111368909513
34,86168,484,0.5616934360783585
42,86046,586,0.6810310764009948
36,85871,502,0.5845978269730177
39,85572,590,0.6894778665918758
38,84602,619,0.7316611900427885
33,83757,496,0.5921893095502465
44,82968,555,0.6689326005206827
45,80252,498,0.6205452823605642
32,78475,427,0.5441223319528512
31,76573,481,0.6281587504734044
46,76201,462,0.6062912560202622
47,73959,438,0.592220013791425
30,73087,463,0.6334915922120212
48,71798,398,0.554332989776874
29,70183,416,0.5927361326817036
49,67072,380,0.5665553435114503
50,66641,371,0.5567143350189824
28,64736,412,0.6364310430054375
51,62063,355,0.5719994199442502
52,59914,326,0.5441132289615115
27,59107,420,0.7105757355304786
53,56475,310,0.5489154493138556
54,53999,309,0.5722328191262801
26,50924,355,0.6971172727986804
55,50265,221,0.4396697503232866
56,49271,211,0.4282437945241623
57,47989,199,0.41467836379170225
58,45771,205,0.44788184658408164
25,45520,345,0.757908611599297
59,44180,149,0.33725667722951563
60,40867,196,0.4796045709251964
24,40055,321,0.8013980776432404
61,37718,174,0.46131820351026037
62,36815,142,0.3857123455113405
23,36081,277,0.7677170810121671
63,34522,157,0.454782457563293
64,32271,122,0.3780484025905612
65,30996,122,0.393599174086979
66,28067,102,0.36341611144760755
22,27943,260,0.9304655906667144
67,26729,97,0.36290171723596093
68,24922,101,0.4052644250060188
69,22842,80,0.35023202871902637
70,20841,76,0.36466580298450174
71,18787,55,0.29275562889231915
73,18228,48,0.26333113890717574
21,17703,224,1.265322261763543
72,16938,48,0.28338646829613884
74,13435,49,0.3647190174916264
75,12170,45,0.3697617091207888
76,10332,29,0.2806813782423539
20,9865,147,1.490116573745565
77,9326,30,0.3216813210379584
78,8144,25,0.30697445972495085
79,7407,22,0.2970163358984744
80,6367,12,0.18847180775875608
81,5364,10,0.18642803877703207
82,5038,12,0.23818975784041285
83,4421,5,0.1130965844831486
19,4089,75,1.834189288334556
84,3791,9,0.2374043787918755
85,3014,7,0.232249502322495
86,2627,4,0.15226494099733537
87,2390,5,0.20920502092050208
88,1935,8,0.4134366925064599
89,1553,2,0.128783000643915
90,1481,3,0.2025658338960162
91,1232,1,0.08116883116883117
92,1095,3,0.273972602739726
93,844,0,0.0
94,640,3,0.46875
18,552,15,2.717391304347826
95,509,1,0.19646365422396855
96,368,0,0.0
97,337,1,0.2967359050445104
98,241,0,0.0
99,141,1,0.7092198581560284
100,116,1,0.8620689655172413
